Text-ID	Sentence-ID	Text
CC_001	0	Climate Crazies Fail in Attempt to Vandalize Another Classic Work of Art    Another of the world’s most recognized and most valuable pieces of art was the target of climate-change activists.
CC_001	1	Climate crazies tried — and failed — to glue themselves to Edvard Munch’s 1893 painting “The Scream” in Oslo on Friday.
CC_001	2	It was yet another example of climate change activists using priceless works of art to protest the use of fossil fuels, which climate zealots believe is leading to global warming.
CC_001	3	In October, climate activists attacked “Girl with a Pearl Earring” by Johannes Vermeer in The Hague.
CC_001	4	Climate hysterics were also responsible for an attack on Van Gogh’s “Sunflowers” and John Constable’s “The Hay Wain” in London over the summer.
CC_001	5	The new climate-related vandalism fad seems to have begun with an attack on Da Vinci’s “Mona Lisa” in which a climate fanatic feigned a disability in order to get close enough to smear a pastry on the painting.
CC_001	6	In addition, “Peach Trees in Blossom” by Van Gogh; “My Heart’s in the Highlands” by Horatio McCulloch; “Tomson’s Aeolian Harp” by J.M.W.
CC_001	7	Turner; “The Last Supper” by Giampietrino; “Sistine Madonna” by Raphael; and “Haystacks” by Monet have been targeted by climate hysterics since May.
CC_001	8	As of yet, none of the artwork has been damaged, due to being protected by glass.
CC_001	9	Video of Friday’s attack shows two young climate vandals attempting to glue themselves to the artwork.
CC_001	10	Police apprehended the hooligans, and reported there was some glue residue on the glass that protects the paintings.
CC_001	11	“I scream for people dying,” one of the activists shouted.
CC_001	12	“I scream when lawmakers ignore science,” the other shouted.
CC_001	13	The Norwegian climate activist group Stopp Oljeletinga, which translates to “Stop Oil Exploration,” claimed responsibility for the attack.
CC_001	14	The group demands that the Norwegian government declare “an immediate halt to all further exploration for oil on the Norwegian continental shelf,” and present “a concrete plan for fair adjustment for today’s oil workers.
CC_001	15	”  A spokesperson for the group claimed that the vandalism was an attempt to “pressure lawmakers into stopping oil exploration.
CC_001	16	”  “We are campaigning against ‘Scream’ because it is perhaps Norway’s most famous painting,” said Astrid Rem, a spokesperson for Stopp Oljeletinga.
CC_001	17	“There have been lots of similar actions around Europe.
CC_001	18	They have managed something that no other action has managed: achieve an extremely large amount of coverage and press.
CC_001	19	”  But there’s good press and there’s bad press.
CC_001	20	These crazy antics are of the bad variety.
CC_001	21	Norway is one of the world’s top oil exporters and provides oil and natural gas to much of Europe, a continent in the midst of a serious energy crunch brought about partly by the war in Ukraine.
CC_001	22	Russia, the largest supplier of natural gas to Europe, has severely restricted supplies and has shut down the Nord Stream 2 pipeline, which it claims was sabotaged.
CC_001	23	Without much-needed Norwegian fossil fuels, Europe could be in for an extremely cold winter.
CC_001	24	The art world has acknowledged their concern over the new phenomenon:  “In recent weeks, there have been several attacks on works of art in international museum collections.
CC_001	25	The activists responsible for them severely underestimate the fragility of these irreplaceable objects, which must be preserved as part of our world cultural heritage,” read a statement signed by approximately one hundred gallery directors and museums.
CC_001	26	These climate crazies are apparently willing to allow a continent to freeze this winter over their fears of an over-hyped “problem” peddled by globalists who flew more than 400 carbon-spewing private jets to COP27 in Egypt last week.
CC_001	27	If they truly believe the hype surrounding climate change, they’re targeting the wrong thing.
CC_002	0	Climate Change Hoaxer Greta Thunberg Charged for Disobeying Law Enforcement in Sweden’s Climate Protest – May Face Up to Six Months in Prison    Sweden says enough!
CC_002	1	Sweden’s Prosecution Authority is bringing charges against none other than their homegrown eco-hoaxer, Greta Thunberg, for disobeying law enforcement during a climate protest in June.
CC_002	2	The 20-year-old is facing potential fines or imprisonment of up to six months.
CC_002	3	The charges stem from her involvement in a protest that allegedly led to major traffic disruption in Malmö in June, authorities said.
CC_002	4	“The prosecutor has filed charges against a young woman who, on June 19 this year, participated in a climate demonstration which, according to the prosecution, caused disruption to traffic in Malmö,” the statement said.
CC_002	5	The woman “refused to obey the police command to leave the scene,” it added according to CNN.
CC_002	6	While the prosecution authority’s statement did not specifically name Thunberg, a spokesperson for the Swedish Prosecution Authority, Annika Collin, confirmed to CNN that the individual referred to in the charges is indeed Greta Thunberg.
CC_002	7	“The criminal classification is disobedience to law enforcement.
CC_002	8	According to the prosecutor, the act was committed with intent,” the prosecution authority’s statement added.
CC_002	9	Irma Kjellström, a spokesperson for Ta Tillbaka Framtiden, told CNN that Thunberg was among several young people who participated in blocking the oil tankers.
CC_002	10	Kjellström added, “After having blocked the industry which is burning our future, we have now been charged with crime.
CC_002	11	While charges are being brought against us, the real crime continues inside the gates that we blocked.
CC_002	12	”  Recently, Greta Thunberg was back in the news after her prediction that the world would end in 2023 was a conspiracy.
CC_002	13	On June 21, 2018, she made a bold claim on Twitter, stating that humanity had a narrow five-year window to stop the use of fossil fuels or face inevitable extinction.
CC_002	14	“A top climate scientist is warning that climate change will wipe out all of humanity unless we stop using fossil fuels over the next five years.
CC_002	15	”  Thunberg shared a now-deleted Grit Post article by Scott Alden citing a prediction from James Anderson, a professor of atmospheric chemistry at Harvard University, titled, “Top Climate Scientist: Humans Will Go Extinct if We Don’t Fix Climate Change by 2023.
