Text-ID	Sentence-ID	Text
A26004	1	affirmative action helps with employment equity.
A26004	2	affirmative action can be considered discriminatory against poor whites
A26004	3	affirmative action is not fair to the rest of the people and knowing that should not be implemented.
A26004	4	affirmative action is necessary to make up for the wrongs inflicted on minorities
A26004	5	affirmative action gives minorities a chance at an education
A26004	6	affirmative action does not encourage minorities to work for their grades since they know that they will get into college and get jobs whatever they've done in school
A26004	7	we should end affirmative action because it is just reverse racism
A26004	8	affirmative action keeps biased out of the hiring process.
A26004	9	it just discriminates against white people
A26004	10	minorities need affirmative action to put them on a level playing field with the majority
A26004	11	affirmative action is a way to try and right the wrongs of the past
A26004	12	there are too many institutional barriers against minorities already. affirmative action helps even the playing field
A26004	13	we should not end affirmative action as we are not there yet and if we do, it issue it was created to prevent, will end up moving in the wrong direction.
A26004	14	we must help to diminish the differences between the people who have suffered and those who have not
A26004	15	minorities are still underrepresented in many fields, so affirmative action is still needed
A26004	16	the are still instances of bias in society that need to be addressed.
A26004	17	if we end affirmative action, discrimination against minorities will resume in hard to detect ways.
A26004	18	affirmative action is just racism in a pretty dress.  we need to end this now.  we cannot allow racism to be okay in any format.
A26004	19	it would ensure that the most qualified candidate gets the positions.
A26004	20	Affirmative action is reverse discrimination. By giving preferential treatment to minority groups, you are discriminating against non-minorities.
A26004	21	affirmative action won't change people's opinions and thoughts so is useless
A26004	22	It has been tried for many years now, and alll the signs say it has failed
A26004	23	Affirmative action via quota systems often disenfranchise minorities as much as help them, as they lead to a system where our institutions set a minimum bar for diversity and never exceed it.
A26004	24	affirmative action only benefits select groups of society, rather than society as a whole.
A26004	25	individuals should be assessed based on their suitability for a position and merit alone; affirmative action is merely a form or discrimination, and perpetuated the very crimes is is seeking to redress.
A26004	26	without affirmative action those who are discriminated against or have lesser chance of equality are given better chance of success
A26004	27	Affirmative action doesn't really changes anything, quite the opposite, it perpetuates the inequality in society.
A26004	28	We should not end affirmative action because it will embolden people who want to keep women and minorities out of their institutions to discriminate.
A26004	29	affirmative action is helpful in ensuring multiculturalism
A26004	30	Affirmative action reinforces stereotypes. If a person is given a job purely because of affirmative action and he does poorly, it may perpetuate the idea that all members of his race/ethnic group are incompetent.
A26004	31	life history of suppressed people have continued to obstruct individuals ability to succeed.  by giving affirmative action we are stopping the manifestation of past actions
A26004	32	affirmative action is no longer necessary as there are now very few barriers for people entering the workplace.
A26004	33	We should end affirmative action because it leads to bias and resentment in the institutions these disprivileged people now enter.
A26004	34	affirmative action is a bad action. it seems to correct for past injustices but in fact just propagates those injustices in a new form
A26004	35	discrimination should never be an option in our society
A26004	36	affirmative action is a way for the less fortunate to improve their financial status
A26004	37	We should end affirmative action because it doesn't create spaces that are welcoming to the groups it professes to help.
A26004	38	affirmative action is no longer needed when everyone has a fair opportunity.
A26004	39	affirmative action remains necessary while minorities are still discriminated against
A26004	40	affirmative action has served its purpose and is no longer needed.
A26004	41	affirmative action is still necessary as, unfortunately, protected classes of people are still not treated equally.
A26004	42	sadly, the work of affirmative action is still not complete; underrepresented students and employees still need a chance.
A26004	43	there comes a point where affirmative action is not affirming because it gives people who are possibly not qualified to do a job a position of power that they are not fit for, simply because of their race.
A26004	44	we need affirmative action to protect the minority
A26004	45	affirmative action is necessary to end the discrimination that has happened over the years and present equal opportunities to all and this will result in a well balanced community.
A26004	46	We should end affirmative action as some groups in society are still discriminated against regardless of their skills or requirements and they need to be supported.
A26004	47	Affirmative action doesn't remove the need to be qualified in order to receive acceptance at a job or university, but rather forces institutions to consider people of diverse backgrounds when they historically haven't.
A26004	48	affirmative action is needed to correct the imbalance that was created by years of oppression against non white males. this dominance remains prevalent today and affirmative action helps restore a balance.
A26004	49	affirmative action is reverse discrimination
A26004	50	even if all people are qualified, affirmative action comes from the perspective that women or minorities are inferior to white men, which promotes a superior attitude from the majority class.
A26004	51	affirmative action is still racial discrimination no matter how you paint it
A26004	52	affirmative action is no longer needed as we are now a very diverse society
A26004	53	affirmative action may lead to "reverse discrimination" to the detriment of non-beneficiary parties
A26004	54	affirmative action is the best way to promote people of color out of poverty and needs to be kept.
A26004	55	people of color, women and the poor still need affirmative action to level the playing field
A26004	56	affirmative action is damaging to minorities, since it make the implicit suggestion that they are unable to succeed in life by their own hand.
A26004	57	We should not end affirmative action because women and minorities are still underrepresented in many institutions.
A26004	58	affirmative action is needed to give the minorities a fair chance at success and stops discrimination in the work force.
A26004	59	affirmative action centers on the minority regardless of capability, leaving those in the majority without  equal opportunities regardless of skillful capabilities, it is a form of discrimination in itself.
A26004	60	affirmative action costs too much and hasn't changed the distribution of minorities in the socioeconomic system, it should end
A26004	61	acceptance into college and if jobs should be based on merit, not the race of the applicant. affirmative action perpetuates the very thing it's designed to fight.
A26004	62	affirmative action favors less qualified people at the expense of more qualified people
A26004	63	affirmative action hurts more people than it helps.
A26004	64	preferential treatment is never justified.
A26004	65	we should end affirmative action since it is no longer fair, instead we should hire people based on skills not race.
A26004	66	affirmative action discriminates the majority, preventing skilled workers from gaining employment over someone less qualified but considered to be a member of a protected minority group.
A26004	67	affirmative action is needed to right the wrongs of our past treatment of certain minorities.
A26004	68	affirmative action seeks to face discrimination and promote equity
A26004	69	affirmative action is just discrimination in the reverse and it should be stopped.
A26004	70	affirmative action allows those who may be marginalized to progress in the work environment
A26004	71	affirmative action can result in better candidates being rejected because they are not in a minority.
A26004	72	i think we should end it because it is unfair to others.
A26004	73	affirmative action allows people to pursue a career that they may never have considered without help from the program.
A26004	74	affirmative action can make it difficult for qualified people to get jobs.
A26004	75	there needs to be equal treatment of every person regardless of what's happened in the past.
A26004	76	affirmative action give people a chance to get ahead that would not normally be able to.
A26004	77	We should end affirmative action because companies meet the legal requirement and then never exceed it once they are compliant.
A26004	78	we should end affirmative action since former practices of discrimination of certain groups no longer exist.
A26004	79	affirmative action gives those who are discriminated against due to appearance, ethnicity and color, giving them a chance for betterment when they would have been disregarded.
A26004	80	In order to obtain real equality we have to treat everyone the same way, affirmative action does exactly the opposite.
